index,question,choice_0,choice_1,choice_2,choice_3,choice_4,answer,split
351,"Whether the time between the filing of a pretrial motion and its disposition is automatically excluded from the deadline for commencing trial under the Speedy Trial Act of 1974, 18 U.S.C. 3161(h)(I)(D) (Supp. II 2008), or is instead excluded only if the motion actually causes a postponement, or the expectation of a postponement, of the trial.",holding that the 30-day period permitted by 18 U.S.C. § 3161(c) did not automatically reset with a superseding indictment but observing that the trial court could have granted an ends of justice continuance to permit time for trial preparation,"holding that, for motions that require hearings, excludable pretrial-motion delay encompasses ""all time between the filing of a motion and the conclusion of the hearing on that motion, whether or not a delay in holding that hearing is reasonably necessary""","holding that because no speedy trial violation occurs if the government prosecutes a defendant ""with customary promptness,"" ""to trigger a speedy trial analysis, an accused must allege that the interval between accusation and trial has crossed the threshold dividing ordinary from `presumptively prejudicial' delay""","holding that filing of a pretrial motion falls within Speedy Trial Act's exclusion irrespective of actual delay in starting trial, and that weekend days and holidays are included in ten-day period of Speedy Trial Act provision excluding delay resulting from transportation of defendant","holding a defendant, before trial, may not appeal under 28 U.S.C. § 1291 a federal district court's order denying his motion to dismiss an indictment due to an alleged Sixth Amendment speedy trial violation.",3,test
352,"The statute in question, § 922(g)(1) of Title 18, United States Code, makes it unlawful: (g) ...for any person (1) who has been convicted in any court of a crime punishable by imprisonment for a term exceeding one year: ... to possess in or affecting commerce, any firearm. In the instant matter, Petitioner's only conviction occurred in Okinawa, Japan, and it was this Japanese conviction that served as the predicate felony in this §922(g)(I) prosecution. The Petitioner filed a motion to dismiss the indictment arguing that foreign felonies were not intended to count as the term ""in any court"" means any court in the United States. The motion was denied. While the third Circuit's affirmance of the lower court is consistent with a 1989 decision of the Fourth Circuit and a 1986 decision of the Sixth Circuit, the Tenth Circuit in 2000 and the Second Circuit, on August 27, 2003, held that foreign convictions do not count. Consequently, a clear conflict exists among the five Circuit Courts which have addressed the issue.
Whether the term ""convicted in any court"" contained in 18 U.S.C. § 922(g)(1) includes convictions entered in foreign courts.","holding that Congress had not clearly stated its intent to abrogate in a statute that authorized ""parties aggrieved . . . to 'bring a civil action . . . in any State court of competent jurisdiction or in a district court of the United States without regard to the amount in controversy'""","holding that the term “any court,” as used in 18 U.S.C. § 922(g), was limited to domestic courts because that Congress “ordinarily intends its statutes to have domestic, not extraterritorial, application,” and because reading the statute to include foreign courts would create anomalies that Congress could not have intended","holding that a South Carolina conviction for possession of cocaine is a conviction for a ""felony drug offense"", as that term is used in § 841(b), because it is ""punishable by more than one year,"" regardless of the fact that the state of conviction classified the offense as a misdemeanor","holding that "" criminal investigation surely falls within the meaning of 'any matter'"" as that phrase is used in 18 U.S.C. § 1001, a federal statute that prohibits knowingly making a false statement ""in any matter within the jurisdiction of the [United States]""","holding that abstention was proper, and finding ""significant ... the apparent absence of any proceedings in the District Court, other than the filing of the complaint, prior to the motion to dismiss""",1,test
353,"Stromberg v. California, 283 U.S. 359 (1931), required the reversal of the judgment if a general verdict could have rested on an instruction that defined a constitutionally defective alternative theory of criminal liability. However, a modern line of cases, including Neder v. United States, 527 U.S. 1 (1999), establishes that error in instructing on an element of a charged crime is not “structural error,” so as to require automatic reversal, but is instead “trial error” and, as such, may be harmless. The question presented is:
Did the Ninth Circuit fail to conform to “clearly established” Supreme Court law, as required by 28 U.S.C. § 2254(d), when it granted habeas corpus relief by deeming an erroneous instruction on one of two alternative theories of guilt to be “structural error” requiring reversal because the jury might have relied on it?","holding that error involving Blakely v. Washington, 542 U.S. at 303-04, 124 S.Ct. 2531, and the failure to submit a sentencing factor to a jury, like the failure to submit an element on an offense to the jury, is not structural error and is therefore subject to harmless error review",holding that failure to instruct the jury on the presumption of innocence is an error subject to harmless error analysis,"holding that trial court error is harmless (i.e. not prejudicial) when ""there is no reasonable possibility that the [error] complained of might have contributed to the conviction""","holding that constitutionally or legally defective jury instruction becomes reversible error only if it “had substantial and injurious effect or influence in determining the jury's verdict” (quoting Brecht v. Abrahamson, 507 U.S. 619, 623, 113 S.Ct. 1710, 123 L.Ed.2d 353 (1993))","holding that Rule 11(c) error is not a form of ""structural"" error and, therefore, that ""Rule 11(h), specifically designed to stop automatic vacaturs, calls for across-the-board application of the harmless-error prescription (or, absent prompt objection, the plain-error rule)""",3,test
354,"The principal federal money laundering statute, 18 U.S.C. 1956(a)(1), makes it a crime to engage in a financial transaction using the “proceeds” of certain specified unlawful activities with the intent to promote those activities or to conceal the proceeds.
The question presented is whether “proceeds” means the gross receipts from the unlawful activities or only the profits, i.e., gross receipts less expenses.","holding that when the government alleges that the defendant laundered the “proceeds” of an illegal gambling business, the government must prove that the laundering transactions involved the profits of the business, rather than its gross receipts",holding that the proceeds of sale of timber on trust land is tax exempt,"holding that section 1513 preempts State taxation of ""gross receipts derived from air transportation or the carriage of persons in air commerce""",holding in-state presence of one full-time employee sufficient to support imposition of gross receipts tax on sales to out-of-state entity,"holding that for the offense of money laundering in violation of 18 U.S.C. §§ 1956(B) and 1957, the existence of criminally generated proceeds was a circumstance element of the offense and, therefore, that where the laundered funds were unlawfully generated was irrelevant for venue purposes",0,test
355,"Title IX of the Education Amendments of 1972, 20 U.S.C. § 1681(a), has been interpreted to provide an implied private right of action for sex discrimination by federally funded educational institutions. Section 1983 of Title 42 of the United States Code creates an express remedy for violations of the U.S. Constitution. Three courts of appeals have held that Title IX’s implied remedy does not foreclose Section 1983 claims to enforce the Constitution’s prohibition against invidious sex discrimination. In contrast, four circuits, including the First Circuit in this case, have held that Title IX’s implied right of action is the exclusive remedy for sex discrimination by federally funded educational institutions. The question presented is:
Whether Title IX’s implied right of action precludes Section 1983 constitutional claims to remedy sex discrimination by federally funded educational institutions.","holding that Title IX, 20 U.S.C. § 1681, which prohibits discrimination on the basis of sex, thereby prohibits retaliation because “[r]etaliation ... is a form of ‘discrimination’ ” and is “ ‘discrimination on the basis of sex’ because it is an intentional response to ... an allegation of sex discrimination”","holding that an implied private cause of action exists under Title IX, which states that ""[n]o person in the United States shall, on the basis of sex, be excluded from participation in, be denied to the benefits of, or be subjected to discrimination under any education program or activity receiving Federal financial assistance""","holding employees may bring a discrimination claim under Title IX when they ""directly participate in federal programs,"" ""directly benefit from federal grants, loans, or contracts,"" or are ""subject to discrimination under"" the funded education program",holding that litigation under the more restrictive statute of Title IX did not preclude litigation under Section 1983,"holding that Title IX's implied private right of action will not lie in absence of school district's ""deliberate indifference"" to teacher's conduct upon actual receipt of notice thereof",3,test
356,"Whether Federal Rule of Criminal Procedure 32(h), and the holding in Burns v. United States, 501 U.S. 129 (1991) requiring a court to provide reasonable notice to the parties that it is contemplating a departure from the applicable sentencing guideline range on a ground not identified for departure either in the presentence report or in a party’s prehearing submission, has any continuing application in light of United States v. Booker, 543 U.S. 220 (2005).","holding that claims of Rule 32(h) notice error are reviewed for plain error in the 2 Although it is not entirely clear from his brief, Mr. Johnson appears to be arguing that this lack of notice violates Rule 32(h) of the Federal Rules of Criminal Procedure. See Fed R. Crim. P. 32(h","holding that ""before a district court can depart upward on a ground not identified as a ground for upward departure either in the presentence report or in a prehearing submission by the Government, Rule 32 requires that the district court give the parties reasonable notice that it is contemplating such a ruling.""","holding that, if the United States has not intervened in an FCA case, relators may not take advantage of the appellate filing deadline that applies when “the United States or its officer or agency is a party”","holding that an alien has the 'option either to abide by the terms' of a voluntary departure order 'and receive the agreed-upon benefits . . . or, alternatively, to forgo those benefits and remain in United States to pursue an administrative motion'","holding that the Fourth Amendment protects only ""the people"" of the United States and has no application to search-and-seizure challenges where the challenger is a non-citizen/non-resident alien with no voluntary attachment to the United States and the area searched is located outside of the United States",0,test
357,"In a civil case against police officers for excessive force, a court must grant qualified immunity unless the use of force was prohibited by clearly established law. Here, the Sixth Circuit denied qualified immunity for force used in 2004 to end a vehicular pursuit that is similar to the force ruled permissible in Scott v. Harris, 550 U.S. 372 (2007). The Sixth Circuit denied qualified immunity by distinguishing Scott ""in the details"" from the force used three years earlier in this case. (Pet. App. at 8-9.) The Sixth Circuit applied a similar analysis in Walker v. Davis, 649 F.3d 502 (6th Cir. 2011), where it also distinguished Scott to deny qualified immunity for pre-2007 conduct. As Judge McKeague noted in his extended dissent, the Sixth Circuit stands alone in this analysis. Id. at 504- 11 (McKeague, J., dissenting). Petitioners believe this Court has an opportunity to correct the errors in the Sixth Circuit's qualified immunity analysis by agreeing to hear their case. The specific questions presented are as follows:
Whether the Sixth Circuit wrongly denied qualified immunity to Petitioners by analyzing whether the force used in 2004 was distinguishable from factually similar force ruled permissible three years later in Scott v. Harris, 550 U.S. 372 (2007). Stated otherwise, the question presented is whether, for qualified immunity purposes, the Sixth Circuit erred in analyzing whether the force was supported by subsequent case decisions as opposed to prohibited by clearly established law at the time the force was used.","holding that the court evaluating a claim of qualified immunity must first determine whether the plaintiff states a claim of a constitutional violation at all, and then must determine whether the claimed right was clearly established, before proceeding to the qualified immunity question",holding that the Sixth Circuit erred in finding that the state court's jury instructions were contrary to clearly established federal law,holding that public officials are entitled to qualified immunity unless the plaintiff demonstrates that there is “a violation of a constitutional right” and that right is “clearly established . . . in light of the specific context of the case” (internal quotation marks omitted),"holding that ""if police officers are justified in firing at a suspect in order to end a severe threat to public safety, the officers need not stop shooting until the threat has ended"" and concluding that it was not unreasonable for officers to fire fifteen shots in a ten-second span","holding that whether an officer used excessive force in violation of the Eighth Amendment ""ultimately turns on ‘whether force was applied in a good faith effort to maintain or restore discipline or maliciously and sadistically for the very purpose of causing harm.’ "" (quoting Johnson , 481 F.2d at 1033 )",3,test
358,"Alaska's sex offender registration act, Alaska Stat. § 12.63.010 et seq., requires convicted sex offenders to register with the Alaska Department of Public Safety and makes offender information available to the public. The department elected to publish the information on the Internet.
Does Alaska's sex offender registration act, Alaska Stat. § 12.63.010 et seq., on its face or as implemented by the Department of Public Safety, impose punishment for purposes of the Ex Post Facto Clause of the United States Constitution?",holding that the registration requirement and notification system of the 1994 Alaska Sex Offender Registration Act did not constitute retroactive punishment prohibited by the Ex Post Facto Clause,"holding that sex discrimination consisting of same-sex sexual harassment is actionable under Title VII and stressing that ""[t]he critical issue . . . is whether members of one sex are exposed to disadvantageous terms or conditions of employment to which members of the other sex are not exposed""","holding that no procedural due process violation occurred as a result of the public disclosure of the state's sex offender registry where the registration requirements contained in the state's Megan's Law ""turn[ed] on an offender's conviction alone—a fact that a convicted offender has already had a procedurally safeguarded opportunity to contest""","holding that the Alaska hire law which requires that all oil and gas leases, easements or rights-of-way permits, et cetera contain requirement that qualified Alaska residents be hired in preference to nonresidents is unconstitutional as violative of the Privileges and Immunities Clause of the Constitution",holding that Alaska statute using length of residence as basis for distribution of oil reserve dividends violated Equal Protection Clause.,0,test
359,"The deadlines for objecting to a debtor's discharge in bankruptcy are set by Bankruptcy Rule 4004. The Fifth, Tenth and Eleventh Circuits and a majority of the district and bankruptcy courts hold that the deadlines for objecting to discharge are jurisdictional and cannot be waived. On the other hand, the Second, Fourth and Seventh Circuits and a minority of district and bankruptcy courts follow the view that such time limits are not jurisdictional and may be waived. Thus, the question presented is:
Whether the deadlines established by the bankruptcy rules for objecting to discharge are jurisdictional.",holding that “[n]o reasonable construction of [claim]-processing rules . . . would allow a litigant” to prevail if he or she he objected to the claim-processing violation “after the party has litigated and lost the case on the merits”,"holding that ""it is sensible to view the debtor-in-possession as the same `entity' which existed before the filing of the bankruptcy petition, but empowered by virtue of the Bankruptcy Code to deal with its contracts and property in a manner it could not have employed absent the bankruptcy filing""",holding that federal bankruptcy law preempted a state law that interfered with federal bankruptcy law’s goal of providing uniform standards for determining discharge of debt,"holding that federal law provides no authority for bankruptcy courts to exercise equitable power to disallow an exemption based on a ground not specified in the Bankruptcy Code, i.e. debtor's bad faith","holding that ""[e]quality of distribution among creditors is a central policy of the Bankruptcy Code,"" and that ""[s]ection 547(b) furthers this policy by permitting a trustee in bankruptcy to avoid certain preferential payments made before the debtor files for bankruptcy""",0,test
360,"Did the Court of Appeals erroneously conclude, contrary to other courts of appeals and in a manner inconsistent with the Court's ruling in Paul v. Davis, that Connecticut's Sex Offender Registration Law implicates an offender's liberty interest by listing offenders in an undifferentiated Registry, and violates due process by failing to afford the offender a hearing regarding his ""current dangerousness"" before publishing true and accurate information about him and his conviction history?","holding that ""to have any meaning at all,"" qualifier ""must refer to the particular circumstances in which an offender committed the crime""","holding that no procedural due process violation occurred as a result of the public disclosure of the state's sex offender registry where the registration requirements contained in the state's Megan's Law ""turn[ed] on an offender's conviction alone—a fact that a convicted offender has already had a procedurally safeguarded opportunity to contest""","holding that the defendant ""fell far short of reasonable diligence"" where, although he knew that his prior state conviction subjected him to a career-offender enhancement, he failed to attack the predicate conviction in state court for more than three years after entry of the judgment in the federal case","holding that an offense qualifies as a misdemeanor crime of domestic violence if committed by an offender ""against a spouse or other domestic victim,"" regardless of whether ""the statute describing the predicate offense include, as a discrete element, the existence of a domestic relationship between offender and victim""",holding that the registration requirement and notification system of the 1994 Alaska Sex Offender Registration Act did not constitute retroactive punishment prohibited by the Ex Post Facto Clause,1,test
361,Is felony driving while intoxicated a “violent felony” for purposes of the Armed Career Criminal Act?,"holding that the ""residual clause"" of the Armed Career Criminal Act (ACCA), 18 U.S.C. § 924(e), is constitutionally vague","holding that in determining whether a crime is a violent felony for purposes of § 924(e), ""we consider the offense generically, that is to say, we examine it in terms of how the law defines the offense and not in terms of how an individual offender might have committed it on a particular occasion""",holding that only a controlled substance violation that is punishable as a felony under the federal Controlled Substances Act can constitute an aggravated felony and finding that it is not enough that the crime is punishable as a felony under state law,"holding that Illinois's failure-to-report offense did not have as an element the use, attempted use, or threatened use of physical force, was a relatively passive offense that did not involve conduct presenting a serious potential risk of physical injury to another, and did not qualify as ""violent felony"" under the Armed Career Criminal Act","holding that a conviction under Indiana law of the driver of an automobile who knowingly or intentionally flees from a police officer constitutes a ""violent felony"" prior conviction under the federal Armed Career Criminal Act, 18 U.S.C. § 924(e)",1,test
362,"In Richardson v. McKnight, 521 U.S. 399, 408 (1997), a bare majority of this Court declined to extend qualified immunity to private prison guards, but expressly noted a historical basis of immunity for private lawyers working ""at the behest of the sovereign."" Id. at 407. The Richardson majority also expressly did not preclude qualified immunity for private parties working as ""adjunct[s] to government."" Id. at 413. Based on Richardson, the Sixth Circuit has accorded immunity to such ""private"" lawyers. Cullinan v. Abramson, 128 F.3d 301 (6th Cir. 1997). Contravening Richardson and expressly disagreeing with Cullinan, the Ninth Circuit in this case denied qualified immunity to a ""private"" lawyer retained by the government solely because of his ""private"" status, even though it accorded qualified immunity to all of the individual government actors involved, thereby completely exonerating them for the very same conduct, which did not violate any clearly established rights. App., infra, 4-5, 12-24. The question thus presented is:
Whether a lawyer retained to work with government employees in conducting an internal affairs investigation is precluded from asserting qualified immunity solely because of his status as a ""private"" lawyer rather than a government employee.","holding that the court evaluating a claim of qualified immunity must first determine whether the plaintiff states a claim of a constitutional violation at all, and then must determine whether the claimed right was clearly established, before proceeding to the qualified immunity question","holding that a defendant's immediate appeal of an unfavorable qualified immunity determination on a motion to dismiss does not deprive the court of appeals of jurisdiction over a second appeal, also based on qualified immunity, following denial of defendant's motion for summary judgment",holding that attorney who was retained by city to assist in investigation into firefighter's potential wrongdoing was entitled to seek the protection of qualified immunity against a § 1983 suit,"holding that prison guards employed by a private prison are not entitled to qualified immunity from suits under § 1983, but that whether the private defendants acted under color of state law in violation of § 1983 was a matter to be determined by the district court",holding that qualified immunity - 24 - determination should be conducted in light of all relevant precedents,2,test
363,"The Solomon Amendment, 10 U .S.C. 983(b)(1), withholds specified federal funds from institutions of higher education that deny military recruiters the same access to campuses and students that they provide to other employers. The question presented is whether the court of appeals erred in holding that the Solomon Amendment's equal access condition on federal funding likely violates the First Amendment to the Constitution and in directing a preliminary injunction to be issued against its enforcement.",holding that Amendment 68 § 1 violated the Constitution but that the remainder of the Amendment was valid to the extent it did not violate federal law,"holding that in providing prophylactic relief in the context of a ""fundamental right of access to [state] courts,"" Title II of the ADA ""constitutes a valid exercise of Congress's § 5 authority to enforce the guarantees of the Fourteenth Amendment"" and abrogates the states' Eleventh Amendment sovereign immunity","holding that ""when a defendant has made a preliminary showing that his sanity at the time of the offense is likely to be a significant factor at trial, the Constitution requires that a State provide access to a psychiatrist's assistance on this issue if the defendant cannot otherwise afford one.""","holding that a party requesting preliminary injunctive relief must demonstrate ""that he is likely to succeed on the merits, that he is likely to suffer irreparable harm in the absence of preliminary relief, that the balance of equities tips in his favor, and that an injunction is in the public interest""","holding that law school's associational rights are not burdened by law requiring that military recruiters be allowed the same campus access other recruiters are given because military recruiters do not become ""members of the school's expressive association""",4,test
364,"The Ninth Circuit affirmed the district court's jurisdiction over the Republic of Austria, a sovereign state, and its national museum, the Austrian Gallery, for a disputed expropriation claim that arose in 1948, twenty-eight years before enactment of the Foreign Sovereign Immunities Act of 1976, 28 U.S.C. § 1602 et seq. (""FSIA""). The claim challenges the Republic's ownership of artwork that is and always has been located in Austria. Jurisdiction and venue in the Central District of California were asserted notwithstanding that (a) the claims in this case arose before the United States adopted the restrictive theory of sovereign immunity in 1952, at a time when Austria had an expectation of absolute immunity from private civil suit in United States courts; (b) the United States opposes a finding of jurisdiction in this case; (c) respondent did not exhaust her legal remedies in Austria; (d) no part of the alleged events or omissions giving rise to the claim occurred in any judicial district in the United States, or concern any commercial activity here. In holding that the FSIA may be retrospectively applied to pre-1952 events, the Ninth Circuit's decision directly conflicts with the holdings of the Second, Eleventh and District of Columbia Circuits.
Does the expropriation exception of the Foreign Sovereign Immunities Act of 1976 (""FSIA""), 28 U.S.C. § 1605(a)(3), afford jurisdiction over claims against foreign states based on conduct that occurred before the United States adopted the restrictive theory of sovereign immunity in 1952?",holding the waivers of sovereign immunity must be strictly construed in favor of the United States,"holding that Act of State doctrine precludes judgment ""even when such courts have jurisdiction over a controversy""","holding that the Fourth Amendment protects only ""the people"" of the United States and has no application to search-and-seizure challenges where the challenger is a non-citizen/non-resident alien with no voluntary attachment to the United States and the area searched is located outside of the United States",holding that sovereign immunity is not implicated since “action of an officer of the sovereign ... beyond the officer's statutory authority is not action of the sovereign”,"holding that the Foreign Sovereign Immunities Act (FSIA), 28 U.S.C. § 1602 et seq., and its service of process provisions do not apply to suits against foreign officials, a point which the plaintiffs readily concede",1,test
365,"QUESTION PRESENTED FOR REVIEW
Can the State of Iowa tax the revenue from slot machines at parimutuel racetracks and the revenue from all casino games on riverboats, including slot machines, at different rates without violating the Equal Protection Clause?","holding that the uncertainty as to when a slot machine will pay a jackpot does not make a liability contingent, because the fact that state law prohibits an operator from changing the odds makes liability certain","holding that the collection of tax revenue under the label of a ""tax penalty"" against a responsible corporate officer constituted the collection of a ""tax"" within the meaning of the predecessor statute to Section C",holding that a metal-shearing machine manufacturer based in England that engaged an independent distributor to sell its machines across the U.S. was not subject to personal jurisdiction in New Jersey where the plaintiff was injured while using one of the company's machines,"holding that a severance tax imposed on amount of coal mined was a ""general revenue tax""",holding that the hypothetical goal of fostering intrastate riverboat gambling provided a rational basis to support legislation taxing riverboat slot machine revenues at a more favorable rate than those from racetrack slot machines,4,test
366,"Whether a party has an immediate appeal under the collateral order doctrine, as set forth in Cohen v. Beneficial Industrial Loan Corp., 337 U.S. 541 (1949), of a district court's order finding waiver of the attorney-client privilege and compelling production of privileged materials.","holding that when the agency ""reopens a proceeding for any reason and, after reconsideration, issues a new and final order setting forth the rights and obligations of the parties, that order — even if it merely reaffirms the rights and obligations set forth in the original order — is reviewable on its merits""",holding that a party may only be held in contempt of a court order if (1) the order clearly and unambiguously imposed an obligation on the party; (2) proof of the party's noncompliance with the order was clear and convincing; and (3,"holding that an ""order denying intervention was not a final, appealable order because it did not dispose of the whole subject matter of the case,"" and thus, the denial order motion can be challenged in an appeal of the final order","holding that a court of appeals has jurisdiction over a small category of rulings if the rulings “are conclusive,” “resolve important questions separate from the merits,” and “are effectively unreviewable on appeal from the final judgment in the underlying action”",holding that an order imposing sanctions—as distinguished from a finding of civil contempt—was not reviewable under the collateral-order doctrine and noting that an evaluation of the appropriateness of sanctions often will be “inextricably intertwined” with the merits of an action,3,test
367,"Section 4(a) of the Portal-to-Portal Act of 1947 provides an exception to an employer's obligation to pay wages under the Fair Labor Standards Act of 1938 (""FLSA""), for time an employee spends ""walking. ..to and from the actual place of performance of the principal activity or activities which such employee is employed to perform"" and for ""activities which are preliminary or postliminary to said principal activity."" 29 U.S.C. § 254(a) Sec. 3(o) of the FLSA expressly excludes from payment ""any time spent in changing clothes. ..at the beginning or end of each workday which was excluded from measured working time during the week involved by the express terms of or by custom or practice under a bona fide collective-bargaining agreement."" Id. § 203(o). The questions presented are:
Whether walking that occurs between compensable clothes-changing time and the time employees arrive at or depart from their actual work stations constitutes non-compensable ""walking. ..to and from the actual place of performance of the principal activity"" within the meaning of Section 4(a).","holding that under traditional principles of vicarious liability, a corporation is the principal of its employees/agents, and thus corporate owners and officers are not liable for the unlawful acts of an employee simply on the basis that the owner or officer controlled (or had the right to control) the actions of that employee",holding that a corporation's place of incorporation and principal place of business are bases for general jurisdiction,"holding that while the question of whether particular activities exclude employees from overtime benefits under the FLSA is a question of law, the question of how employees spend their time is a question of fact","holding that ""[w]alking to [the locker rooms where the safety gear is donned] before starting work is excluded from FLSA coverage, but the statutory text does not exclude walking from that place to another area within the plant immediately after the workday has commenced""","holding that “[w]hether a Fourth Amendment violation has occurred turns on an objective assessment of the officer's actions in light of the facts and circumstances confronting him at the time, and not on the officer's actual state of mind at the time the challenged action was taken”",3,test
368,"QUESTIONS PRESENTED:
Whether 47 U.S.C. § 201(b) of the Communications Act of 1934 creates a private right  of action for a provider of payphone services to sue a long distance carrier for alleged violations of the FCC's regulations concerning compensation for coinless payphone calls.","holding that although the Securities Exchange Act does not include a private cause of action for Section 10(b) violations, there is a right of action implied in the Act's words and its implementing regulation and declining to extend said right ""beyond its boundaries""","holding that the Supreme Court’s implication of a private right of action under § 10(b) of the Securities and Exchange Act of 1934 was simply acquiescence in ""the 25-year-old acceptance by the lower federal courts of an implied action""","holding that 47 U.S.C. § 207 authorizes a federal-court lawsuit brought by a person who was injured by violations of 47 U.S.C. § 201(b), which prohibits ""unreasonable practices"" in the provision of communication services",holding that an express remedy under § 11 of the 1933 Act for misleading registration statements did not preclude an overlapping implied private cause of action for fraudulent misrepresentation under § 10(b) of the 1934 Act,"holding that the DBA “does not confer a private right of action for back wages under a contract that administratively has been determined not to call for Davis–Bacon work,” but declining to decide “whether the Act creates an implied private right of action to enforce a contract that contains specific [DBA] stipulations”",2,test
369,Whether the six year limitation period set out in 31 U.S.C. § 3731(b) should be applied to retaliatory discharge actions under the False Claims Act or whether courts should apply the most slosely analogous state limitation period.,"holding that because the FCA does not provide a statute of limitations for retaliation claims, courts should apply the most closely analogous state statute of limitations",holding that Congress intended mandatory minimum sentencing enhancement for discharge of weapon under 18 U.S.C. § 924(c) to apply regardless of whether discharge was accidental or intentional,"holding that amendment to jurisdictional provision of the False Claims Act, 31 U.S.C. §§ 3729-31, permitting qui tam suits based on information in government's possession under certain circumstances did not apply retroactively to conduct occurring before its effective date",holding that the six-year period of limitations for an action seeking to enforce withdrawal liability under the MPPAA begins running when the employer fails to make a payment on the schedule set by the fund,holding that actions brought under § 101(a)(2) of LMRDA are governed by state law limitations period applicable to personal injury actions,0,test
370,"Whether the plain meaning of the operative phrase ""causes dilution of the distinctive quality of the mark,"" read in pari materia with the definition of dilution as ""the lessening of the capacity of a famous mark to identify and distinguish goods and services,"" requires objective proof of actual injury to the economic value of the famous mark (as opposed to a presumption of harm arising from a subjective ""likelihood of dilution"" standard) as a precondition to any and all relief under the Federal Trademark Dilution Act.","holding when the aesthetic design of a product is itself the mark for which protection is sought, the mark may be deemed functional if giving the mark-holder the right to use it exclusively ""would put competitors at a significant non-reputation-related disadvantage""","holding that annexations by a city are subject to § 5 of the VRA preclearance because increasing the number of eligible voters dilutes the weight of the votes of those to whom the franchise was limited before the annexation, and the right to vote may be denied by dilution",holding that the general principles qualifying a mark for registration under § 2 of the Lanham Act are applicable in determining whether an unregistered mark is entitled to protection under § 43,holding that Court need not reach question of influence-dilution claim because complainant failed to prove Gingles's third requirement (white bloc voting),holding there was a complete absence of evidence of any lessening of the capacity of the plaintiffs famous mark to identify and distinguish goods or services,4,test
371,"Section 36B of the Internal Revenue Code, which was enacted as part of the Patient Protection and Affordable Care Act (""ACA""), authorizes federal tax-credit subsidies for health insurance coverage that is purchased through an ""Exchange established by the State under section 1311"" of the ACA.
The question presented is whether the Internal Revenue Service (""IRS"") may permissibly promulgate regulations to extend tax-credit subsidies to coverage purchased through Exchanges established by the federal government under section 1321 of the ACA.","holding that free speech clause not violated by regulations by Department of Health and Human Services, prohibiting recipients of federal subsidies under Title X of Public Health Service Act from engaging in abortion counseling or referral","holding that the collection of tax revenue under the label of a ""tax penalty"" against a responsible corporate officer constituted the collection of a ""tax"" within the meaning of the predecessor statute to Section C","holding that an Internal Revenue Service investigation to determine a taxpayer's civil tax liability is not ""preliminar[y] to or in connection with a judicial proceeding"" within the meaning of Rule 6(e)(C), and therefore no disclosure is available under that Rule","holding that this issue is governed by Section 2 of the Securities Act and Section 3 of the Exchange Act, both of which define the term ""security"" to include ""any note.""",holding that Congress did not delegate health insurance policy to Internal Revenue Service,4,test
372,Should this Court grant certiorari to resolve the five-to-three circuit conflict over whether disparate impact claims are cognizable under the Age Discrimination in Employment Act?,holding that the Age Discrimination in Employment Act did not allow for reverse age discrimination suits even though plain reading of the statute appeared to allow for such suits,holding that the Sixth Circuit's withholding of the mandate denying habeas for a capital sentence for five months after Supreme Court denial of certiorari was abuse of discretion,"holding that based on the language of the ADEA, a ""plaintiff bringing a disparate-treatment claim pursuant to the ADEA must prove, by a preponderance of the evidence, that age was the ""but-for"" cause of the challenged adverse employment action""","holding that the correlation of age with pension status did not, by itself, support an inference of age discrimination and to state an ADEA disparate-treatment claim a plaintiff must show that the differential treatment was ""actually motivated"" by age, not pension status","holding that, in a disparate impact claim, ""the employee is 'responsible for isolating and identifying the specific employment practices that are allegedly responsible for any observed statistical disparities"" (quoting Wards Cove Packing Co. v. Atonio, 490 U.S. 642, 656 (1989))",4,test
373,"Whether, in an action under Section 1 of the Sherman Act, 15 U.S.C. § 1, alleging that the defendant engaged in unlawful tying by conditioning a patent license on the licensee's purchase of a non-patented good, the plaintiff must prove as part of its affirmative case that the defendant possessed market power in the relevant market for the tying product, or market power instead is presumed based solely on the existence of the patent on the tying product.",holding that plaintiffs alleging antitrust violation from tying arrangements involving a patented product must prove that a defendant has market power in the tying product,"holding that tying arrangements [like block booking] are presumed to be per se illegal only in certain factual circumstances, including where the defendant had market power and where the tie foreclosed competitors from the tied market","holding that courts are required to consider the extent of market harm in addition to ‘whether unrestricted and widespread conduct of the sort engaged in by the defendant ... would result in substantially adverse impact on the potential market for the original.’ """,holding that “it is clearly reasonable to infer that [the defendant] has market power to raise prices and drive out competition in the aftermarkets” for service and parts despite an undisputed lack of market power in the initial product,"holding that the district court erred by finding the boundaries of the relevant market to be coterminous with the borders of the State of Connecticut and remanding for a determination based on ""the economically and legally feasible alternative methods of entry"" into the relevant market",0,test
